Game,ReleaseDate,Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments,AvgPlayerTourment,AvgEarningsTourment
Ultra Fight Da! Kyanta 2,2019,Fighting Game,320.0,320.0,3,1,3.0,320.0
Skullgirls,2012,Fighting Game,300.0,300.0,3,1,3.0,300.0
Smash Remix,2019,Fighting Game,299.06,0.0,4,1,4.0,299.06
Gundam Versus,2017,First-Person Shooter,280.0,280.0,6,1,6.0,280.0
Jstris,2014,Puzzle Game,275.0,0.0,12,2,6.0,137.5
Soul Calibur IV,2008,Fighting Game,260.0,260.0,3,2,1.5,130.0
Aquapazza: Aquaplus Dream Match,2011,Fighting Game,245.0,245.0,5,2,2.5,122.5
MOBA Legends,2016,Multiplayer Online Battle Arena,225.0,0.0,3,1,3.0,225.0
Kirby Fighters 2,2020,Fighting Game,222.86,0.0,4,1,4.0,222.86
Tetris Ultimate,2014,Puzzle Game,221.0,221.0,3,1,3.0,221.0
Super Mario Party,2018,Strategy,220.0,220.0,4,1,4.0,220.0
GRID (2019),2019,Racing,218.75,218.75,3,1,3.0,218.75
Dragon Ball Z: Budokai 3,2004,Fighting Game,204.06,204.06,3,1,3.0,204.06
Digimon Rumble Arena,2001,Fighting Game,200.0,0.0,5,2,2.5,100.0
Schwarzerblitz,2020,Fighting Game,200.0,0.0,5,2,2.5,100.0
Naruto: Gekitou Ninja Taisen! 4,2005,Fighting Game,200.0,0.0,3,1,3.0,200.0
Project Plus,2019,Fighting Game,195.0,0.0,6,2,3.0,97.5
Fighter's History Dynamite,1994,Fighting Game,195.0,195.0,3,1,3.0,195.0
Cultris II,2011,Puzzle Game,190.95,0.0,3,1,3.0,190.95
Umineko: Golden Fantasia,2010,Fighting Game,190.0,90.0,9,3,3.0,63.333333333333336
Def Jam: Fight for NY,2004,Fighting Game,190.0,0.0,4,2,2.0,95.0
Pocket Rumble,2016,Fighting Game,185.0,0.0,5,2,2.5,92.5
Catherine: Full Body,2019,Puzzle Game,185.0,185.0,3,1,3.0,185.0
Warsow,2012,First-Person Shooter,183.0,0.0,2,1,2.0,183.0
Project Justice,2000,Fighting Game,165.0,165.0,3,1,3.0,165.0
Twinkle Star Sprites,1996,Puzzle Game,150.0,0.0,4,2,2.0,75.0
Speedrunners,2016,Racing,150.0,0.0,5,2,2.5,75.0
Ultimate Mortal Kombat 3,1995,Fighting Game,150.0,150.0,6,2,3.0,75.0
Hokuto no Ken,2005,Fighting Game,145.0,145.0,3,1,3.0,145.0
Chaos Code: New Sign of Catastrophe,2013,Fighting Game,140.0,140.0,3,1,3.0,140.0
Panel Attack,2020,Puzzle Game,140.0,0.0,5,2,2.5,70.0
Capcom vs. SNK,2000,Fighting Game,140.0,140.0,6,2,3.0,70.0
HYPERFIGHT,2019,Fighting Game,140.0,0.0,4,2,2.0,70.0
Forza Motorsport 4,2011,Racing,132.37,132.37,2,1,2.0,132.37
Magical Drop III,1997,Puzzle Game,130.0,130.0,3,1,3.0,130.0
Tough Love Arena,2021,Fighting Game,100.0,0.0,3,1,3.0,100.0
Toribash,2006,Fighting Game,100.0,0.0,3,1,3.0,100.0
Chex Quest,1996,First-Person Shooter,100.0,0.0,2,1,2.0,100.0
Mobile Suit Gundam: Extreme Vs Maxi Boost ON,2016,Third-Person Shooter,100.0,0.0,6,1,6.0,100.0
Red Earth,1996,Fighting Game,100.0,0.0,3,1,3.0,100.0
Mighty Fight Federation,2021,Fighting Game,100.0,0.0,3,1,3.0,100.0
Power Instinct: Matrimelee,2002,Fighting Game,90.0,0.0,5,2,2.5,45.0
Shrek SuperSlam,2005,Fighting Game,80.0,0.0,4,2,2.0,40.0
Samurai Shodown III,1995,Fighting Game,70.0,0.0,5,2,2.5,35.0
Mario Tennis Aces,2018,Sports,61.3,0.0,6,2,3.0,30.65
The Last Blade 2,1998,Fighting Game,60.0,0.0,4,2,2.0,30.0
Dengeki Bunko: Fighting Climax,2014,Fighting Game,60.0,60.0,3,1,3.0,60.0
Shovel Knight Showdown,2019,Fighting Game,60.0,60.0,3,1,3.0,60.0
Roof Rage,2019,Fighting Game,50.0,0.0,3,1,3.0,50.0
BlazBlue: Calamity Trigger,2008,Fighting Game,35.0,35.0,3,1,3.0,35.0
Guilty Gear,1998,Fighting Game,32.0,32.0,3,1,3.0,32.0
King of Fighters XI,2005,Fighting Game,25.0,25.0,3,1,3.0,25.0
Akatsuki Blitzkampf,2007,Fighting Game,20.0,0.0,3,1,3.0,20.0
Breakers Revenge,1998,Fighting Game,16.0,0.0,3,1,3.0,16.0
Asuka 120% LimitOver BURNING Fest.,1998,Fighting Game,10.0,0.0,3,1,3.0,10.0
